category,product_name,price,quantity
Electronics,Laptop Pro 15,1299.99,2
Electronics,Wireless Headphones,89.99,5
Clothing,Winter Jacket,149.99,3
Electronics,Smartphone X12,899.99,4
Books,Operating Systems Textbook,79.99,10
Clothing,Running Shoes,119.99,6
Home,Coffee Maker Deluxe,69.99,8
Electronics,4K Monitor,449.99,3
Books,Data Structures Guide,59.99,7
Home,Air Purifier Pro,199.99,4
Clothing,Yoga Pants,49.99,12
Electronics,USB-C Hub,39.99,15
Books,Linux Administration,54.99,9
Home,Smart Thermostat,179.99,5
Electronics,Gaming Mouse,79.99,10
Clothing,Formal Blazer,199.99,2
Home,Robot Vacuum,399.99,3
Books,Python Crash Course,44.99,14
Electronics,Tablet S10,549.99,6
Home,Blender Pro,89.99,7
Clothing,Denim Jeans,69.99,9
Electronics,Smartwatch Elite,329.99,5
Books,Clean Code,39.99,11
Home,Desk Lamp LED,29.99,20
Clothing,Cotton T-Shirt,24.99,25
Electronics,Portable Charger,49.99,18
Home,Instant Pot 8Qt,129.99,6
Books,The Linux Command Line,49.99,8
Clothing,Waterproof Backpack,89.99,4
Electronics,Noise Cancelling Buds,159.99,7
