category,product_name,price,quantity
Electronics,OLED TV 55,1599.99,1
Sports,Tennis Racket Pro,189.99,3
Sports,Running Treadmill,799.99,1
Books,Algorithms Unlocked,64.99,6
Clothing,Rain Coat Premium,249.99,2
Sports,Yoga Mat Extra Thick,39.99,15
Electronics,Curved Monitor 34,699.99,2
Home,Standing Desk,449.99,2
Sports,Protein Powder 5lb,59.99,10
Books,Computer Networks,74.99,5
Electronics,Mechanical Keyboard,149.99,8
Home,Sous Vide Cooker,99.99,4
Sports,Resistance Bands Set,29.99,20
Clothing,Compression Shorts,34.99,18
Electronics,External SSD 1TB,109.99,9
Books,Deep Learning Book,69.99,7
Home,Humidifier Smart,79.99,6
Sports,Jump Rope Speed,19.99,30
Clothing,Fleece Hoodie,59.99,11
Electronics,Webcam 4K,129.99,7
Home,Cast Iron Skillet,49.99,12
Sports,Foam Roller Pro,34.99,16
Books,The Pragmatic Programmer,54.99,9
Clothing,Polo Shirt,44.99,14
Electronics,VR Headset,499.99,2
Home,Air Fryer XL,109.99,8
Sports,Gym Gloves,24.99,22
Books,Cracking the Coding Interview,44.99,13
Clothing,Windbreaker Jacket,129.99,5
Electronics,Smart Speaker,99.99,11
